"Step","agent.state_dependent_std: true - evaluation/episode.return","agent.state_dependent_std: true - evaluation/episode.return__MIN","agent.state_dependent_std: true - evaluation/episode.return__MAX","agent.state_dependent_std: false - evaluation/episode.return","agent.state_dependent_std: false - evaluation/episode.return__MIN","agent.state_dependent_std: false - evaluation/episode.return__MAX"
"0","-2.629922128274595","-11.980015916399784","7.027497860957062","0.9224763892743252","-12.272255223975208","5.30874720683118"
"100000","4608.623842855874","3990.149093905661","5082.099417831296","4036.227860399099","3529.215215622033","4318.91443770147"
"200000","5304.583955269227","5076.164764881229","5598.533036319702","4483.457230017248","3126.1446631328577","4811.154226818049"
"300000","5713.867491509407","4728.897004929461","6100.024724173273","4943.551806613355","4543.021223456527","5247.5351808327705"
"400000","5997.1895297670635","5682.755282896953","6263.516372047622","5243.947106873052","5102.913942534403","5471.704619777766"
"500000","6319.583063798798","5946.138925552024","6449.04820777312","5305.62900556893","4972.363755026923","5563.8026771953"
"600000","6479.275255352397","6198.288078600687","6812.853100149767","5477.780999247596","5160.6210000514575","5659.956559686381"
"700000","6639.76015718322","6412.997875977583","6820.75210361554","5622.1866875553005","5367.521161871294","5962.259770814476"
"800000","6764.519045260169","6561.19496681519","6926.472877204605","5640.396088908142","5452.108468578925","5993.871103231658"
"900000","6812.859336383405","6623.105138130167","6999.002896857497","5639.210911941231","5508.637285035551","5818.372410732861"
"1000000","6861.462878996626","6764.636103048285","6974.041665711199","5660.55083210828","5551.024584790684","5892.722366698748"