"Step","agent.alpha: 3 - evaluation/episode.return","agent.alpha: 3 - evaluation/episode.return__MIN","agent.alpha: 3 - evaluation/episode.return__MAX","agent.alpha: 0.1 - evaluation/episode.return","agent.alpha: 0.1 - evaluation/episode.return__MIN","agent.alpha: 0.1 - evaluation/episode.return__MAX","agent.alpha: 0.3 - evaluation/episode.return","agent.alpha: 0.3 - evaluation/episode.return__MIN","agent.alpha: 0.3 - evaluation/episode.return__MAX","agent.alpha: 0.03 - evaluation/episode.return","agent.alpha: 0.03 - evaluation/episode.return__MIN","agent.alpha: 0.03 - evaluation/episode.return__MAX"
"0","-53.47708285147332","-101.04195034031201","-18.010149264999143","-62.544232107898964","-90.30262166107443","-34.7858425547235","-61.547469258320994","-103.7641724112878","-19.33076610535419","-25.147305524101476","-33.29901377721908","-16.995597270983872"
"100000","1684.9997994147188","638.3963700337004","2647.4148055327987","1016.6102140402808","957.774900994279","1075.4455270862825","328.1610027873483","260.457190126972","395.8648154477246","1175.8242089416462","786.8288545489615","1564.819563334331"
"200000","2855.99319150672","612.3782592076614","3924.7278406422424","4588.3815216497105","3881.9339760058124","5294.829067293608","3287.0780111178246","2751.320718231713","3822.835304003937","3125.672863787556","2796.7024222345253","3454.643305340586"
"300000","3976.7537642971383","2071.376203206231","6054.9318156112895","4922.117550678795","4239.334562378807","5604.900538978783","3504.795896189261","943.2098128942225","6066.381979484299","5422.25028877263","4961.968594230631","5882.531983314628"
"400000","6516.475661553515","4923.5460192688615","7379.25096631408","6681.9999840151795","6589.793290829586","6774.206677200773","3754.805953302251","654.8688878174427","6854.74301878706","6040.198935187704","6032.917444531917","6047.48042584349"
"500000","7104.856089682388","6041.783124689457","7786.668196874269","7113.762981004356","6950.289760444233","7277.2362015644785","6790.7734743484125","6355.192637217675","7226.35431147915","6951.968712809225","6916.831105008703","6987.106320609747"
"600000","7670.088743269005","6931.160247828049","8251.431509223043","7433.944139669883","7303.503063894908","7564.385215444858","7311.461066559219","7161.401191608299","7461.520941510138","7344.777186877511","7225.327903516246","7464.226470238775"
"700000","7998.505923878445","7534.663018673362","8522.954472641099","7779.21034540564","7738.775808350583","7819.644882460696","7817.737510183351","7682.361855772533","7953.113164594169","7624.667489006205","7598.799778529567","7650.5351994828425"
"800000","8321.97991167758","7897.147894979417","8684.867250870604","7929.343841946733","7894.205548444652","7964.482135448813","7836.096016196093","7738.816066441217","7933.375965950969","7775.8691676049675","7646.453720789044","7905.284614420891"
"900000","8502.12344267662","8293.606452825275","8766.400102830543","8024.611696356233","8012.231585296602","8036.991807415864","7876.498376248952","7830.921328797048","7922.075423700855","7897.215525412625","7737.916162222411","8056.514888602837"
"1000000","8594.729329322636","8318.825582220452","8885.300394024347","7996.248892875607","7860.436827650712","8132.060958100503","8091.516206411302","8086.507122425497","8096.525290397107","7740.721284388352","7450.733568871445","8030.708999905258"