"Step","agent.alpha: 400 - evaluation/episode.return","agent.alpha: 400 - evaluation/episode.return__MIN","agent.alpha: 400 - evaluation/episode.return__MAX","agent.alpha: 3 - evaluation/episode.return","agent.alpha: 3 - evaluation/episode.return__MIN","agent.alpha: 3 - evaluation/episode.return__MAX","agent.alpha: 10 - evaluation/episode.return","agent.alpha: 10 - evaluation/episode.return__MIN","agent.alpha: 10 - evaluation/episode.return__MAX","agent.alpha: 100 - evaluation/episode.return","agent.alpha: 100 - evaluation/episode.return__MIN","agent.alpha: 100 - evaluation/episode.return__MAX"
"0","-7.825786939308741","-12.70490373850223","-2.147845457241662","-8.96435364424438","-12.21977269901588","-1.0341984459185318","-12.13684900502149","-13.36080949474619","-10.840254418350206","-4.803176994773189","-12.008391200433039","-1.5084677672197895"
"100000","4205.187556655368","3478.687807408338","4511.809895045825","4687.39439231329","3948.6199730264048","5348.613227286712","4701.490282188518","4136.00760124631","5124.081955937765","3421.377098791362","2022.7910875257637","4682.716341732083"
"200000","5142.982460974657","4422.434752605941","5467.4010771026105","5301.36197890269","4866.611601506541","5572.460256593349","5321.682908624218","4754.589669272479","5972.763146742214","5169.568320074295","4816.0369414494","5565.9912647781575"
"300000","5462.876203981077","4751.903324308427","5826.478126065027","5654.7076138717","5165.750318755941","6026.271636008242","5682.246198572448","4907.779731282899","6117.3173693770195","5367.12574262264","4951.894888767302","5810.483397712241"
"400000","6039.2023827802495","5864.117504971606","6336.392452625965","5610.374745297275","4971.5978578103895","5966.407444764112","6072.072313356573","5782.028945381597","6495.779768347802","5376.211487642601","4548.307456223892","6135.54957012321"
"500000","6187.325251538661","5954.667366758508","6411.0039710506135","6093.121620596676","5853.552764658246","6246.566065499309","6452.252289875258","6252.963020349307","6702.6291593297865","5861.201872335577","5497.75057281651","6172.109696692941"
"600000","6507.298634636107","6358.104377829811","6582.961719930265","6201.430846399648","5463.939122770465","6574.337753508239","6663.292103642614","6519.138777179289","6794.121768641498","5809.10537944758","4614.45754748757","6288.819952887689"
"700000","6650.431439048798","6475.050073754354","6738.037189566589","6554.93035722381","6310.109894753542","6880.218416003653","6769.140254622847","6410.402291122372","7027.497985591279","6305.54647545945","5943.100285696457","6626.2996099101465"
"800000","6651.257345079833","6359.740429820083","6814.9546670267255","6705.765361083404","6500.495487796454","6923.744010609964","6827.071747691121","6642.314226226741","7008.304277335291","6207.478586861839","5744.978484241409","6611.610789744448"
"900000","6852.253587899233","6728.942387769297","7026.56027349919","6776.489830277069","6535.207017333749","6886.280422316793","6882.013676629049","6743.5394219665195","7025.440432000468","6452.682948114715","6336.902709356827","6674.077246122321"
"1000000","6922.791269914698","6795.5777941506","7090.0786924830345","6832.818988697432","6665.978853285067","7079.138723615274","6919.5404577272075","6791.255083573728","7036.974830101963","6475.881939840468","6254.194054080414","6659.302538426249"