SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,ManEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
0.220552271,9317.491254,0.240603203,8887.653229,0.366109645,6147.404659,0.225831561,7570.250384,0.546457684,4510.043746,0.399270392,10637.09768,0.869391752,-216.7985381,0.730863111,1747.639485,0.69111746,1445.493562,0.76443299,13045.64315,,,,,0.569100391,10131.84988
0.226483662,9384.775278,0.254688178,9089.455446,0.376491406,6228.18936,0.229529457,7798.794711,0.565003001,4523.733871,0.419296064,10718.012,0.882746188,-243.5007634,0.751267006,1773.390558,0.699626743,1483.261803,0.795360825,12912.86307,,,,,0.58083442,10206.27231
0.231673213,9452.049331,0.262841098,9237.414491,0.383165965,6268.601653,0.236933226,8094.593148,0.582803155,4604.618282,0.439319741,10839.24888,0.910193576,-229.6909867,0.762026043,1752.7897,0.722287687,1476.39485,0.808247423,12962.6556,,,,,0.590612777,10110.32153
0.239086953,9546.235,0.270994018,9385.373535,0.397255594,6376.317911,0.24063644,8215.610665,0.61024722,4685.632315,0.453410699,10920.08344,0.945800532,-202.3306782,0.781299226,1787.124464,0.734181814,1462.660944,0.836597938,13029.04564,,,,,0.606258149,10280.54895
0.247244526,9600.108085,0.280631281,9519.911671,0.405411172,6470.513551,0.246561183,8417.303202,0.683687313,4726.941994,0.483818797,11068.34161,0.963604674,-202.0913752,0.801694367,1781.974249,0.746091503,1503.862661,0.870618557,13095.43568,,,,,0.609517601,10248.56535
0.256883783,9694.323667,0.285821497,9573.744872,0.414309255,6551.27831,0.257669495,8807.237453,0.596152939,4672.002015,0.495686896,11095.38285,0.979183299,-201.8819851,0.818127394,1790.55794,0.764220842,1500.429185,0.886082474,13145.22822,,,,,0.62125163,10205.84188
0.265041356,9748.196752,0.299909796,9708.342833,0.426173366,6658.964656,0.263592908,9035.811692,0.622114654,4726.114404,0.470467684,11027.83958,0.985859187,-188.3513952,0.831162446,1804.291845,0.793682112,1498.712446,0.925257732,13294.60581,,,,,0.638200782,10365.40579
0.276164292,9842.432276,0.310290228,9816.009237,0.434329609,6739.719444,0.27174051,9291.297547,0.639918797,4726.353707,0.506812491,11135.85497,,,0.85212416,1799.141631,0.806721541,1527.896996,0.944329897,13360.99585,,,,,0.64797914,10333.35277
0.288028403,9950.118621,0.317704632,9896.754054,0.447678063,6833.98488,0.278408422,9466.118353,0.654013078,4739.984007,0.520904113,11203.24867,,,0.864593612,1816.309013,0.821444638,1500.429185,0.962371134,13311.20332,,,,,0.674706649,10535.41105
0.294702297,10003.97176,0.325119701,9964.05802,0.455834307,6914.739668,0.28285414,9573.704989,0.667364855,4767.045186,0.537964422,11243.80056,,,0.88498924,1812.875536,0.832216319,1524.463519,0.97371134,13294.60581,,,,,0.679269883,10535.36246
0.303601709,10057.85482,0.332535435,10017.92114,0.46399188,6968.612754,0.288037709,9761.946703,0.679234284,4767.204722,0.54538215,11257.34112,,,0.907656506,1828.32618,0.844679935,1521.030043,0.993298969,13344.39834,,,,,0.685136897,10545.9496
0.318433177,10165.58105,0.342177351,10058.37331,0.470666439,7009.025046,0.293965776,9896.434984,0.693331224,4727.071616,0.560221595,11203.77713,,,0.925219273,1824.892704,0.856014784,1533.04721,0.999484536,13377.59336,,,,,0.687744459,10513.97295
0.327332589,10219.46411,0.352560442,10112.27631,0.478082837,7049.44731,0.307304258,10192.31319,0.714844563,4727.360774,0.567641317,11176.99514,,,0.937124099,1848.927039,0.870745176,1531.330472,,,,,,,0.704693611,10652.2376
0.33771568,10273.36711,0.369616763,10233.4733,0.486241075,7089.879544,0.317679373,10407.5064,0.731904872,4767.91266,0.575793572,11338.39503,,,0.960357937,1864.377682,0.87981325,1541.630901,,,,,,,0.712516297,10577.6069
0.340681708,10300.28869,0.375548818,10287.31648,0.494399313,7130.311779,0.322129079,10434.44793,0.74451481,4794.963869,0.588400186,11432.6505,,,0.980190884,1874.678112,0.889451787,1565.665236,,,,,,,0.722946545,10641.39359
0.346613098,10367.57272,0.389637117,10421.91444,0.502558215,7157.303162,0.328802308,10501.74193,0.757864593,4862.347602,0.596553771,11567.16869,,,1.000022857,1881.545064,0.9115447,1553.648069,,,,,,,0.738591917,10769.0225
0.353286328,10434.86671,0.400019543,10489.25829,0.512941306,7211.20616,0.338441566,10595.95751,0.768249013,4889.368898,0.60322833,11607.58099,,,,,0.937614317,1579.399142,,,,,,,0.745110821,10694.40568
0.359217054,10515.59159,0.412626822,10570.0729,0.527774768,7278.609836,0.349563837,10703.63388,0.783825644,4929.900842,0.623997836,11648.18273,,,,,0.947238751,1553.648069,,,,,,,0.758148631,10758.1646
0.366631458,10596.3364,0.43190999,10664.4181,0.540382047,7359.42445,0.361425953,10851.64278,0.797178751,4930.080319,0.635125425,11648.33229,,,,,0.962543496,1579.399142,,,,,,,0.763363755,10790.05794
0.376270715,10690.55199,0.446002942,10704.93011,0.552248152,7426.788241,0.370322042,10972.73009,0.804597143,4930.180029,0.640318964,11634.96124,,,,,0.976709261,1584.549356,,,,,,,0.779009126,10779.2417
0.380718427,10757.81607,0.451194488,10731.88161,0.561148229,7467.230447,0.379962629,11040.06397,0.811275026,4903.388065,0.64402949,11608.12939,,,,,0.987479483,1603.433476,,,,,,,0.796610169,10885.55052
0.391842028,10838.61074,0.456387362,10731.9514,0.570788816,7534.564326,0.394053587,11120.89853,0.828337994,4890.176546,0.656641422,11594.85804,,,,,0.997677783,1603.433476,,,,,,,0.803780965,10864.1749
0.39555056,10852.10145,0.45861288,10731.98132,0.580431397,7561.575651,0.410368068,11242.08555,0.835757052,4876.835404,0.668510186,11608.45843,,,,,,,,,,,,,0.823337679,10938.51402
0.40148328,10892.50377,0.461580237,10732.0212,0.595266188,7602.097624,0.420006661,11349.74198,0.842433605,4876.925143,0.684825332,11716.2046,,,,,,,,,,,,,0.832464146,10885.16869
0.408899013,10946.36688,0.465289434,10732.07105,0.607129634,7723.224821,0.451149286,11645.85949,0.849110158,4877.014881,0.695950262,11770.11757,,,,,,,,,,,,,0.835723598,10885.13398
0.42447365,11027.22138,0.47567053,10826.29661,0.620478752,7804.049405,0.462273551,11713.21331,0.852814037,4984.591546,0.7041085,11810.54981,,,,,,,,,,,,,0.847457627,10991.50529
0.428923356,11054.16291,0.489019649,10907.12119,0.636799216,7804.268767,0.465981418,11740.14487,0.866908318,4998.221846,0.717461607,11810.72928,,,,,,,,,,,,,0.853976532,10959.48699
0.435597915,11094.5752,0.503111271,10974.5149,0.650891503,7858.22162,0.437060987,11511.26153,0.881745104,4998.421265,0.725623168,11783.95726,,,,,,,,,,,,,0.862451108,10948.74711
0.443756153,11135.00744,0.50607464,11055.19989,0.664983791,7912.174473,0.476365838,11767.16617,0.895098211,4998.600742,0.738237095,11730.36336,,,,,,,,,,,,,0.884615385,11086.95622
0.453398069,11175.45961,0.512749199,11095.61218,0.681300931,7979.598091,0.488971123,11888.30334,0.913646187,4958.527462,0.745658146,11676.69967,,,,,,,,,,,,,0.89243807,11054.92403
0.457105936,11202.39117,0.52239178,11122.62351,0.693910869,8006.649299,0.501580397,11928.7954,0.933677176,4931.914976,0.751593525,11663.33858,,,,,,,,,,,,,0.900260756,11044.19109
0.471198223,11256.34402,0.534999724,11189.99727,0.708744331,8074.052975,0.515672684,11982.74825,0.938128877,4918.53395,0.758270743,11649.98747,,,,,,,,,,,,,0.917209909,11075.95947
0.474163586,11296.70646,0.54686184,11338.00617,0.720611765,8114.535064,0.529024461,12009.80943,0.960380731,4986.037335,0.765690466,11623.20548,,,,,,,,,,,,,0.933507171,11075.78591
0.478613292,11323.64799,0.566145008,11432.35137,0.725062136,8128.035741,0.545343596,12036.91049,0.971506991,5013.068602,0.789427328,11663.8471,,,,,,,,,,,,,0.951760104,11086.24115
0.488253879,11390.98187,0.58023796,11472.86337,0.737672074,8155.08695,0.561660736,12104.33411,0.986342447,5040.149724,0.77681606,11663.6776,,,,,,,,,,,,,0.962190352,11128.72858
0.502343507,11498.69813,0.592846569,11526.79628,0.751763696,8222.480655,0.569077799,12131.31552,1.000439387,5000.016618,0.797578918,11838.68785,,,,,,,,,,,,,0.974576271,11181.84482
0.513467108,11579.4928,0.606937527,11607.63084,0.758439585,8236.011245,0.584656424,12131.52491,,,0.813896059,11906.11147,,,,,,,,,,,,,0.98696219,11203.01216
0.51717431,11619.86521,0.6195468,11648.1229,0.769567174,8236.160809,0.592076146,12104.74292,,,0.837634915,11906.43054,,,,,,,,,,,,,0.992829205,11213.59931
0.527554742,11727.53161,0.626222024,11675.09434,0.776243727,8236.250548,0.601721386,12077.99084,,,0.850990016,11866.28746,,,,,,,,,,,,,0.998696219,11224.18646
0.534970476,11781.39472,0.638827974,11782.79066,0.785886973,8249.821021,0.61804185,12078.2102,,,0.864342459,11879.90779,,,,,,,,,,,,,,
0.545351573,11875.62028,0.648469225,11836.68369,0.802207437,8250.040382,0.627684431,12105.22152,,,0.877694901,11893.52812,,,,,,,,,,,,,,
0.552026132,11916.03257,0.655144449,11863.65513,0.810367004,8263.590914,0.638810691,12132.25279,,,0.892529692,11934.05009,,,,,,,,,,,,,,
0.563148403,12023.70894,0.666270044,11904.12725,0.820009585,8290.602239,0.656613504,12159.3738,,,0.908846832,12001.47371,,,,,,,,,,,,,,
0.563148403,12023.70894,0.685553877,11985.0316,0.825201131,8317.553738,0.681090211,12240.34795,,,0.92219861,12028.53489,,,,,,,,,,,,,,
0.575011849,12144.83614,0.69816448,11998.64196,0.829650172,8357.936118,0.695926332,12253.98822,,,0.939260248,12042.20507,,,,,,,,,,,,,,
0.577977876,12171.75773,0.707065221,12025.64331,0.840775767,8398.408236,0.715953998,12294.57999,,,0.955580712,12042.42443,,,,,,,,,,,,,,
0.585390951,12279.38425,0.712999936,12025.72308,0.855610558,8438.930209,0.730047615,12321.65114,,,0.965964467,12082.88658,,,,,,,,,,,,,,
0.590581167,12333.21745,0.724866705,12079.64602,0.862287112,8439.019948,0.76120154,12389.27417,,,0.972638362,12136.73972,,,,,,,,,,,,,,
0.597994242,12440.84397,0.733023613,12146.95995,0.876380064,8479.53195,0.775295157,12416.34532,,,0.982280278,12177.1919,,,,,,,,,,,,,,
0.603183129,12521.55887,0.748602238,12147.16934,0.886763155,8533.434948,0.790871787,12456.87727,,,0.988214992,12177.27167,,,,,,,,,,,,,,
0.61282571,12548.5702,0.753053938,12133.78832,0.900116261,8533.614426,0.80051171,12537.652,,,0.992667358,12150.44979,,,,,,,,,,,,,,
0.615050563,12562.04096,0.758246813,12133.85812,0.914952382,8547.254696,0.816826856,12645.39817,,,0.998599413,12204.29296,,,,,,,,,,,,,,
0.62395064,12602.48317,0.765665206,12133.95783,0.923853124,8574.25605,0.832404816,12659.04841,,,,,,,,,,,,,,,,,,
0.62988336,12642.88549,0.781238513,12241.69403,0.93868725,8628.218874,0.843534399,12618.87542,,,,,,,,,,,,,,,,,,
0.637300423,12669.8669,0.791620939,12309.03788,0.951297853,8641.829232,0.86356273,12646.02634,,,,,,,,,,,,,,,,,,
0.644716157,12723.73002,0.800521016,12349.48008,0.957973077,8668.800673,0.873947815,12659.60679,,,,,,,,,,,,,,,,,,
0.648426018,12710.33902,0.813129624,12403.41299,0.96539014,8695.782085,0.891008124,12700.15867,,,,,,,,,,,,,,,,,,
0.649167857,12710.34899,0.828707584,12417.06323,0.975031392,8749.675113,0.913261972,12727.3395,,,,,,,,,,,,,,,,,,
0.657328089,12710.45867,0.849474431,12511.42838,0.980965441,8763.195732,0.928094105,12821.62488,,,,,,,,,,,,,,,,,,
0.66177846,12723.95935,0.852441123,12524.90911,0.990608687,8776.766206,0.939219035,12875.53785,,,,,,,,,,,,,,,,,,
0.668452354,12777.81249,0.841315528,12484.437,0.992834205,8776.796119,0.96666044,13010.31529,,,,,,,,,,,,,,,,,,
0.670677208,12791.28326,0.868762252,12511.68762,0.998027745,8763.425064,0.974076839,13050.73755,,,,,,,,,,,,,,,,,,
0.681802138,12845.19623,0.885080722,12552.22954,,,0.98297891,13050.8572,,,,,,,,,,,,,,,,,,
0.686993683,12872.14772,0.898431834,12592.73157,,,0.994847674,13064.45759,,,,,,,,,,,,,,,,,,
0.687735522,12872.1577,0.906591401,12606.2821,,,0.999298709,13064.51742,,,,,,,,,,,,,,,,,,
0.688477362,12872.16767,0.914751633,12606.39178,,,0.95256483,13023.56669,,,,,,,,,,,,,,,,,,
0.693666248,12952.88257,0.922913195,12579.61976,,,,,,,,,,,,,,,,,,,,,,
0.698855799,13020.15662,0.93107808,12485.64348,,,,,,,,,,,,,,,,,,,,,,
0.705529694,13074.00977,0.938498467,12445.42064,,,,,,,,,,,,,,,,,,,,,,
0.707753882,13100.92138,0.948143042,12432.10941,,,,,,,,,,,,,,,,,,,,,,
0.716655289,13114.48189,0.956303939,12418.77824,,,,,,,,,,,,,,,,,,,,,,
0.721106324,13114.54171,0.972624403,12418.9976,,,,,,,,,,,,,,,,,,,,,,
0.732232584,13141.57298,0.982268313,12419.12722,,,,,,,,,,,,,,,,,,,,,,
0.737423465,13181.96533,0.988202363,12432.64784,,,,,,,,,,,,,,,,,,,,,,
0.746323542,13222.40753,0.99116972,12432.68772,,,,,,,,,,,,,,,,,,,,,,
0.752256926,13249.369,0.999329952,12432.79741,,,,,,,,,,,,,,,,,,,,,,
0.75893215,13276.34045,,,,,,,,,,,,,,,,,,,,,,,,
0.764866864,13276.42021,,,,,,,,,,,,,,,,,,,,,,,,
0.768575396,13289.91092,,,,,,,,,,,,,,,,,,,,,,,,
0.773026432,13289.97075,,,,,,,,,,,,,,,,,,,,,,,,
0.776735628,13290.0206,,,,,,,,,,,,,,,,,,,,,,,,
0.779702985,13290.06048,,,,,,,,,,,,,,,,,,,,,,,,
0.787859893,13357.37442,,,,,,,,,,,,,,,,,,,,,,,,
0.796020125,13357.4841,,,,,,,,,,,,,,,,,,,,,,,,
0.80714572,13397.95622,,,,,,,,,,,,,,,,,,,,,,,,
0.815305287,13411.50675,,,,,,,,,,,,,,,,,,,,,,,,
0.8242047,13465.38981,,,,,,,,,,,,,,,,,,,,,,,,
0.828655735,13465.44963,,,,,,,,,,,,,,,,,,,,,,,,
0.836818626,13411.79591,,,,,,,,,,,,,,,,,,,,,,,,
0.847946215,13411.94547,,,,,,,,,,,,,,,,,,,,,,,,
0.856844298,13492.71023,,,,,,,,,,,,,,,,,,,,,,,,
0.868709073,13586.95573,,,,,,,,,,,,,,,,,,,,,,,,
0.87241827,13587.00558,,,,,,,,,,,,,,,,,,,,,,,,
0.879094158,13600.53617,,,,,,,,,,,,,,,,,,,,,,,,
0.886511886,13614.07673,,,,,,,,,,,,,,,,,,,,,,,,
0.895413293,13627.63724,,,,,,,,,,,,,,,,,,,,,,,,
0.902831686,13627.73694,,,,,,,,,,,,,,,,,,,,,,,,
0.91395861,13641.32736,,,,,,,,,,,,,,,,,,,,,,,,
0.920632504,13695.1805,,,,,,,,,,,,,,,,,,,,,,,,
0.926565224,13735.58283,,,,,,,,,,,,,,,,,,,,,,,,
0.936207141,13776.035,,,,,,,,,,,,,,,,,,,,,,,,
0.940657512,13789.53568,,,,,,,,,,,,,,,,,,,,,,,,
0.942883029,13789.56559,,,,,,,,,,,,,,,,,,,,,,,,
0.953266785,13830.02774,,,,,,,,,,,,,,,,,,,,,,,,
0.959199505,13870.43006,,,,,,,,,,,,,,,,,,,,,,,,
0.965134219,13870.50983,,,,,,,,,,,,,,,,,,,,,,,,
0.974777465,13884.0803,,,,,,,,,,,,,,,,,,,,,,,,
0.981454018,13884.17004,,,,,,,,,,,,,,,,,,,,,,,,
0.987388732,13884.24981,,,,,,,,,,,,,,,,,,,,,,,,
0.993323447,13884.32958,,,,,,,,,,,,,,,,,,,,,,,,
0.998515657,13897.84022,,,,,,,,,,,,,,,,,,,,,,,,
